month,total.total,timeRange.start,timeRange.end
2001-05-15T00:00:00.000Z,69,2001-05-15T00:00:00.000Z,2001-05-16T00:00:00.000Z
2001-05-16T00:00:00.000Z,102,2001-05-16T00:00:00.000Z,2001-05-17T00:00:00.000Z
2001-05-17T00:00:00.000Z,209,2001-05-17T00:00:00.000Z,2001-05-18T00:00:00.000Z
2001-05-18T00:00:00.000Z,79,2001-05-18T00:00:00.000Z,2001-05-19T00:00:00.000Z
2001-05-19T00:00:00.000Z,83,2001-05-19T00:00:00.000Z,2001-05-20T00:00:00.000Z
2001-05-20T00:00:00.000Z,179,2001-05-20T00:00:00.000Z,2001-05-21T00:00:00.000Z
2001-05-21T00:00:00.000Z,120,2001-05-21T00:00:00.000Z,2001-05-22T00:00:00.000Z
2001-05-22T00:00:00.000Z,69,2001-05-22T00:00:00.000Z,2001-05-23T00:00:00.000Z
2001-05-23T00:00:00.000Z,65,2001-05-23T00:00:00.000Z,2001-05-24T00:00:00.000Z
2001-05-24T00:00:00.000Z,26,2001-05-24T00:00:00.000Z,2001-05-25T00:00:00.000Z
2001-05-25T00:00:00.000Z,105,2001-05-25T00:00:00.000Z,2001-05-26T00:00:00.000Z
2001-05-26T00:00:00.000Z,92,2001-05-26T00:00:00.000Z,2001-05-27T00:00:00.000Z
2001-05-27T00:00:00.000Z,86,2001-05-27T00:00:00.000Z,2001-05-28T00:00:00.000Z
2001-05-28T00:00:00.000Z,108,2001-05-28T00:00:00.000Z,2001-05-29T00:00:00.000Z
2001-05-29T00:00:00.000Z,32,2001-05-29T00:00:00.000Z,2001-05-30T00:00:00.000Z
2001-05-30T00:00:00.000Z,95,2001-05-30T00:00:00.000Z,2001-05-31T00:00:00.000Z
2001-05-31T00:00:00.000Z,47,2001-05-31T00:00:00.000Z,2001-06-01T00:00:00.000Z
2001-06-01T00:00:00.000Z,53,2001-06-01T00:00:00.000Z,2001-06-02T00:00:00.000Z
2001-06-02T00:00:00.000Z,22,2001-06-02T00:00:00.000Z,2001-06-03T00:00:00.000Z
2001-06-03T00:00:00.000Z,39,2001-06-03T00:00:00.000Z,2001-06-04T00:00:00.000Z
2001-06-04T00:00:00.000Z,31,2001-06-04T00:00:00.000Z,2001-06-05T00:00:00.000Z
2001-06-05T00:00:00.000Z,20,2001-06-05T00:00:00.000Z,2001-06-06T00:00:00.000Z
2001-06-06T00:00:00.000Z,28,2001-06-06T00:00:00.000Z,2001-06-07T00:00:00.000Z
